Sample Date,Enterococci Results,Year Population,Day Before Precipitation,Day of Precipitation,Water Temperature,Sum Precip
7/5/2006,4,7904335,0,1.06,19.92,1.06
7/5/2006,4,7904335,0,1.06,19.92,1.06
7/5/2006,4,7904335,0,1.06,19.92,1.06
7/5/2006,4,7904335,0,1.06,19.92,1.06
7/10/2006,4,7904335,0,0,18.76,0
7/18/2006,4,7904335,0,0.44,22.11,0.44
7/18/2006,4,7904335,0,0.44,22.11,0.44
7/18/2006,4,7904335,0,0.44,22.11,0.44
7/18/2006,4,7904335,0,0.44,22.11,0.44
7/20/2006,4,7904335,0,0,22.46,0
7/20/2006,4,7904335,0,0,22.46,0
7/20/2006,4,7904335,0,0,22.46,0
7/24/2006,4,7904335,0,0,23.35,0
7/24/2006,4,7904335,0,0,23.35,0
7/24/2006,4,7904335,0,0,23.35,0
8/1/2006,4,7904335,0,0,23.71,0
8/1/2006,4,7904335,0,0,23.71,0
8/1/2006,4,7904335,0,0,23.71,0
8/2/2006,4,7904335,0,0,23.74,0
8/2/2006,4,7904335,0,0,23.74,0
8/2/2006,4,7904335,0,0,23.74,0
8/2/2006,4,7904335,0,0,23.74,0
8/3/2006,4,7904335,0,0,23.81,0
8/3/2006,4,7904335,0,0,23.81,0
8/3/2006,4,7904335,0,0,23.81,0
8/3/2006,4,7904335,0,0,23.81,0
8/3/2006,4,7904335,0,0,23.81,0
8/7/2006,4,7904335,0,0,22.1,0
8/7/2006,4,7904335,0,0,22.1,0
8/7/2006,4,7904335,0,0,22.1,0
8/7/2006,4,7904335,0,0,22.1,0
8/14/2006,4,7904335,0,0,23.13,0
8/14/2006,4,7904335,0,0,23.13,0
8/14/2006,4,7904335,0,0,23.13,0
8/22/2006,4,7904335,0,0,23.42,0
8/22/2006,4,7904335,0,0,23.42,0
8/22/2006,4,7904335,0,0,23.42,0
8/22/2006,4,7904335,0,0,23.42,0
8/22/2006,4,7904335,0,0,23.42,0
4/24/2007,4,7908735,0,0,8.39,0
4/24/2007,4,7908735,0,0,8.39,0
4/24/2007,4,7908735,0,0,8.39,0
4/24/2007,4,7908735,0,0,8.39,0
5/8/2007,4,7908735,0,0,11.63,0
5/8/2007,4,7908735,0,0,11.63,0
5/8/2007,4,7908735,0,0,11.63,0
5/8/2007,4,7908735,0,0,11.63,0
5/15/2007,4,7908735,0,0,14.16,0
5/15/2007,4,7908735,0,0,14.16,0
5/15/2007,4,7908735,0,0,14.16,0
5/15/2007,4,7908735,0,0,14.16,0
5/22/2007,4,7908735,0,0,15.13,0
5/22/2007,4,7908735,0,0,15.13,0
5/22/2007,4,7908735,0,0,15.13,0
5/22/2007,4,7908735,0,0,15.13,0
5/30/2007,4,7908735,0,0,16.88,0
5/30/2007,4,7908735,0,0,16.88,0
5/30/2007,4,7908735,0,0,16.88,0
5/30/2007,4,7908735,0,0,16.88,0
6/6/2007,4,7908735,0,0,18.25,0
6/6/2007,4,7908735,0,0,18.25,0
6/6/2007,4,7908735,0,0,18.25,0
6/6/2007,4,7908735,0,0,18.25,0
6/6/2007,4,7908735,0,0,18.25,0
6/11/2007,4,7908735,0,0.05,19.07,0.05
6/11/2007,4,7908735,0,0.05,19.07,0.05
6/11/2007,4,7908735,0,0.05,19.07,0.05
6/11/2007,4,7908735,0,0.05,19.07,0.05
6/19/2007,4,7908735,0,0.06,20.72,0.06
6/19/2007,4,7908735,0,0.06,20.72,0.06
6/19/2007,4,7908735,0,0.06,20.72,0.06
6/19/2007,4,7908735,0,0.06,20.72,0.06
6/19/2007,4,7908735,0,0.06,20.72,0.06
6/25/2007,4,7908735,0,0,19.88,0
6/25/2007,4,7908735,0,0,19.88,0
7/2/2007,4,7908735,0,0,19.67,0
7/2/2007,4,7908735,0,0,19.67,0
7/2/2007,4,7908735,0,0,19.67,0
7/2/2007,4,7908735,0,0,19.67,0
7/2/2007,4,7908735,0,0,19.67,0
7/10/2007,4,7908735,0,0,20.81,0
7/10/2007,4,7908735,0,0,20.81,0
7/10/2007,4,7908735,0,0,20.81,0
7/16/2007,4,7908735,0,0,21.8,0
7/16/2007,4,7908735,0,0,21.8,0
7/16/2007,4,7908735,0,0,21.8,0
7/31/2007,4,7908735,0,0,23.75,0
7/31/2007,4,7908735,0,0,23.75,0
7/31/2007,4,7908735,0,0,23.75,0
7/31/2007,4,7908735,0,0,23.75,0
7/31/2007,4,7908735,0,0,23.75,0
8/7/2007,4,7908735,0,0,24.76,0
8/7/2007,4,7908735,0,0,24.76,0
8/7/2007,4,7908735,0,0,24.76,0
8/13/2007,4,7908735,0,0,24.88,0
8/20/2007,4,7908735,0.08,0.05,23.47,0.13
8/20/2007,4,7908735,0.08,0.05,23.47,0.13
8/27/2007,4,7908735,0,0,23.02,0
8/27/2007,4,7908735,0,0,23.02,0
9/5/2007,4,7908735,0,0,23.43,0
9/5/2007,4,7908735,0,0,23.43,0
9/5/2007,4,7908735,0,0,23.43,0
9/5/2007,4,7908735,0,0,23.43,0
5/6/2008,4,7945783,0,0,13.68,0
5/6/2008,4,7945783,0,0,13.68,0
5/6/2008,4,7945783,0,0,13.68,0
5/6/2008,4,7945783,0,0,13.68,0
5/6/2008,4,7945783,0,0,13.68,0
5/6/2008,4,7945783,0,0,13.68,0
5/6/2008,4,7945783,0,0,13.68,0
5/14/2008,4,7945783,0,0,14.23,0
5/14/2008,4,7945783,0,0,14.23,0
5/14/2008,4,7945783,0,0,14.23,0
5/20/2008,4,7945783,0,0.46,14.42,0.46
5/20/2008,4,7945783,0,0.46,14.42,0.46
5/29/2008,4,7945783,0,0,15.35,0
5/29/2008,4,7945783,0,0,15.35,0
6/3/2008,4,7945783,0,0,16.13,0
6/3/2008,4,7945783,0,0,16.13,0
6/3/2008,4,7945783,0,0,16.13,0
6/3/2008,4,7945783,0,0,16.13,0
6/3/2008,4,7945783,0,0,16.13,0
6/3/2008,4,7945783,0,0,16.13,0
6/3/2008,4,7945783,0,0,16.13,0
6/10/2008,4,7945783,0,0.19,18.91,0.19
6/10/2008,4,7945783,0,0.19,18.91,0.19
6/17/2008,4,7945783,0.03,0,20.14,0.03
6/24/2008,4,7945783,0.06,0,21.07,0.06
6/24/2008,4,7945783,0.06,0,21.07,0.06
6/24/2008,4,7945783,0.06,0,21.07,0.06
6/24/2008,4,7945783,0.06,0,21.07,0.06
6/24/2008,4,7945783,0.06,0,21.07,0.06
6/24/2008,4,7945783,0.06,0,21.07,0.06
7/1/2008,4,7945783,0.01,0,21.49,0.01
7/1/2008,4,7945783,0.01,0,21.49,0.01
7/1/2008,4,7945783,0.01,0,21.49,0.01
7/1/2008,4,7945783,0.01,0,21.49,0.01
7/8/2008,4,7945783,0,0,22.54,0
7/8/2008,4,7945783,0,0,22.54,0
7/8/2008,4,7945783,0,0,22.54,0
7/8/2008,4,7945783,0,0,22.54,0
7/8/2008,4,7945783,0,0,22.54,0
7/8/2008,4,7945783,0,0,22.54,0
7/8/2008,4,7945783,0,0,22.54,0
7/17/2008,4,7945783,0,0,23.5,0
7/17/2008,4,7945783,0,0,23.5,0
7/17/2008,4,7945783,0,0,23.5,0
7/17/2008,4,7945783,0,0,23.5,0
7/17/2008,4,7945783,0,0,23.5,0
7/17/2008,4,7945783,0,0,23.5,0
7/22/2008,4,7945783,0.01,0.01,24.24,0.02
7/22/2008,4,7945783,0.01,0.01,24.24,0.02
7/29/2008,4,7945783,0,0,25.23,0
7/29/2008,4,7945783,0,0,25.23,0
7/29/2008,4,7945783,0,0,25.23,0
7/29/2008,4,7945783,0,0,25.23,0
7/29/2008,4,7945783,0,0,25.23,0
7/29/2008,4,7945783,0,0,25.23,0
7/29/2008,4,7945783,0,0,25.23,0
7/29/2008,4,7945783,0,0,25.23,0
7/29/2008,4,7945783,0,0,25.23,0
7/29/2008,4,7945783,0,0,25.23,0
8/5/2008,4,7945783,0,0.02,25.3,0.02
8/5/2008,4,7945783,0,0.02,25.3,0.02
8/13/2008,4,7945783,0.01,0,24.75,0.01
8/13/2008,4,7945783,0.01,0,24.75,0.01
8/19/2008,4,7945783,0,0,24.6,0
8/19/2008,4,7945783,0,0,24.6,0
8/19/2008,4,7945783,0,0,24.6,0
8/19/2008,4,7945783,0,0,24.6,0
8/19/2008,4,7945783,0,0,24.6,0
8/19/2008,4,7945783,0,0,24.6,0
8/19/2008,4,7945783,0,0,24.6,0
8/26/2008,4,7945783,0,0,24.45,0
8/26/2008,4,7945783,0,0,24.45,0
8/26/2008,4,7945783,0,0,24.45,0
8/26/2008,4,7945783,0,0,24.45,0
8/26/2008,4,7945783,0,0,24.45,0
8/26/2008,4,7945783,0,0,24.45,0
9/3/2008,4,7945783,0,0,24.92,0
9/3/2008,4,7945783,0,0,24.92,0
9/3/2008,4,7945783,0,0,24.92,0
9/3/2008,4,7945783,0,0,24.92,0
9/3/2008,4,7945783,0,0,24.92,0
9/3/2008,4,7945783,0,0,24.92,0
9/11/2008,4,7945783,0,0,24.48,0
9/11/2008,4,7945783,0,0,24.48,0
5/12/2009,4,7991063,0,0,15.49,0
5/12/2009,4,7991063,0,0,15.49,0
5/12/2009,4,7991063,0,0,15.49,0
5/12/2009,4,7991063,0,0,15.49,0
5/12/2009,4,7991063,0,0,15.49,0
5/12/2009,4,7991063,0,0,15.49,0
5/12/2009,4,7991063,0,0,15.49,0
5/12/2009,4,7991063,0,0,15.49,0
5/12/2009,4,7991063,0,0,15.49,0
5/12/2009,4,7991063,0,0,15.49,0
5/12/2009,4,7991063,0,0,15.49,0
6/2/2009,4,7991063,0,0.01,18.8,0.01
6/2/2009,4,7991063,0,0.01,18.8,0.01
6/2/2009,4,7991063,0,0.01,18.8,0.01
6/17/2009,4,7991063,0,0,20.81,0
6/17/2009,4,7991063,0,0,20.81,0
6/30/2009,4,7991063,0,0.24,22.62,0.24
6/30/2009,4,7991063,0,0.24,22.62,0.24
6/30/2009,4,7991063,0,0.24,22.62,0.24
6/30/2009,4,7991063,0,0.24,22.62,0.24
7/7/2009,4,7991063,0,0.42,22.14,0.42
7/7/2009,4,7991063,0,0.42,22.14,0.42
7/14/2009,4,7991063,0,0,22.34,0
7/14/2009,4,7991063,0,0,22.34,0
7/14/2009,4,7991063,0,0,22.34,0
7/14/2009,4,7991063,0,0,22.34,0
7/20/2009,4,7991063,0,0,22.58,0
7/20/2009,4,7991063,0,0,22.58,0
7/29/2009,4,7991063,0,1.31,24.92,1.31
7/29/2009,4,7991063,0,1.31,24.92,1.31
8/4/2009,4,7991063,0,0,25.67,0
8/4/2009,4,7991063,0,0,25.67,0
8/4/2009,4,7991063,0,0,25.67,0
8/4/2009,4,7991063,0,0,25.67,0
8/4/2009,4,7991063,0,0,25.67,0
8/4/2009,4,7991063,0,0,25.67,0
8/4/2009,4,7991063,0,0,25.67,0
8/4/2009,4,7991063,0,0,25.67,0
8/11/2009,4,7991063,0.36,0,24.53,0.36
8/11/2009,4,7991063,0.36,0,24.53,0.36
8/11/2009,4,7991063,0.36,0,24.53,0.36
8/11/2009,4,7991063,0.36,0,24.53,0.36
8/11/2009,4,7991063,0.36,0,24.53,0.36
8/11/2009,4,7991063,0.36,0,24.53,0.36
8/11/2009,4,7991063,0.36,0,24.53,0.36
8/11/2009,4,7991063,0.36,0,24.53,0.36
8/11/2009,4,7991063,0.36,0,24.53,0.36
8/18/2009,4,7991063,0,0.36,25.95,0.36
8/18/2009,4,7991063,0,0.36,25.95,0.36
8/18/2009,4,7991063,0,0.36,25.95,0.36
8/18/2009,4,7991063,0,0.36,25.95,0.36
8/18/2009,4,7991063,0,0.36,25.95,0.36
8/18/2009,4,7991063,0,0.36,25.95,0.36
8/18/2009,4,7991063,0,0.36,25.95,0.36
8/26/2009,4,7991063,0,0.02,26.91,0.02
8/26/2009,4,7991063,0,0.02,26.91,0.02
8/26/2009,4,7991063,0,0.02,26.91,0.02
8/26/2009,4,7991063,0,0.02,26.91,0.02
8/26/2009,4,7991063,0,0.02,26.91,0.02
8/26/2009,4,7991063,0,0.02,26.91,0.02
8/26/2009,4,7991063,0,0.02,26.91,0.02
8/26/2009,4,7991063,0,0.02,26.91,0.02
8/26/2009,4,7991063,0,0.02,26.91,0.02
8/31/2009,4,7991063,0,0,25.04,0
8/31/2009,4,7991063,0,0,25.04,0
8/31/2009,4,7991063,0,0,25.04,0
8/31/2009,4,7991063,0,0,25.04,0
8/31/2009,4,7991063,0,0,25.04,0
8/31/2009,4,7991063,0,0,25.04,0
8/31/2009,4,7991063,0,0,25.04,0
8/31/2009,4,7991063,0,0,25.04,0
9/9/2009,4,7991063,0,0,24.74,0
9/9/2009,4,7991063,0,0,24.74,0
9/9/2009,4,7991063,0,0,24.74,0
9/9/2009,4,7991063,0,0,24.74,0
5/11/2010,4,8190105,0,0.02,10.93,0.02
5/11/2010,4,8190105,0,0.02,10.93,0.02
5/11/2010,4,8190105,0,0.02,10.93,0.02
5/11/2010,4,8190105,0,0.02,10.93,0.02
5/11/2010,4,8190105,0,0.02,10.93,0.02
5/11/2010,4,8190105,0,0.02,10.93,0.02
5/17/2010,4,8190105,0,0,11.84,0
5/17/2010,4,8190105,0,0,11.84,0
5/17/2010,4,8190105,0,0,11.84,0
5/17/2010,4,8190105,0,0,11.84,0
5/17/2010,4,8190105,0,0,11.84,0
5/17/2010,4,8190105,0,0,11.84,0
5/25/2010,4,8190105,0,0,14.66,0
5/25/2010,4,8190105,0,0,14.66,0
5/25/2010,4,8190105,0,0,14.66,0
5/25/2010,4,8190105,0,0,14.66,0
5/25/2010,4,8190105,0,0,14.66,0
5/25/2010,4,8190105,0,0,14.66,0
5/25/2010,4,8190105,0,0,14.66,0
5/25/2010,4,8190105,0,0,14.66,0
6/8/2010,4,8190105,0,0,19.09,0
6/8/2010,4,8190105,0,0,19.09,0
6/8/2010,4,8190105,0,0,19.09,0
6/8/2010,4,8190105,0,0,19.09,0
6/15/2010,4,8190105,0.01,0,18.61,0.01
6/22/2010,4,8190105,0,0.16,20.93,0.16
6/22/2010,4,8190105,0,0.16,20.93,0.16
6/22/2010,4,8190105,0,0.16,20.93,0.16
6/22/2010,4,8190105,0,0.16,20.93,0.16
6/22/2010,4,8190105,0,0.16,20.93,0.16
6/22/2010,4,8190105,0,0.16,20.93,0.16
6/29/2010,4,8190105,0.02,0,22.23,0.02
6/29/2010,4,8190105,0.02,0,22.23,0.02
6/29/2010,4,8190105,0.02,0,22.23,0.02
6/29/2010,4,8190105,0.02,0,22.23,0.02
6/29/2010,4,8190105,0.02,0,22.23,0.02
6/29/2010,4,8190105,0.02,0,22.23,0.02
6/29/2010,4,8190105,0.02,0,22.23,0.02
7/7/2010,4,8190105,0,0,21.88,0
7/13/2010,4,8190105,0,0.62,22.79,0.62
7/13/2010,4,8190105,0,0.62,22.79,0.62
7/13/2010,4,8190105,0,0.62,22.79,0.62
7/20/2010,4,8190105,0.15,0,25.15,0.15
7/20/2010,4,8190105,0.15,0,25.15,0.15
7/20/2010,4,8190105,0.15,0,25.15,0.15
7/20/2010,4,8190105,0.15,0,25.15,0.15
7/20/2010,4,8190105,0.15,0,25.15,0.15
7/27/2010,4,8190105,0,0,24.16,0
7/27/2010,4,8190105,0,0,24.16,0
7/27/2010,4,8190105,0,0,24.16,0
8/3/2010,4,8190105,0,0,22.61,0
8/3/2010,4,8190105,0,0,22.61,0
8/3/2010,4,8190105,0,0,22.61,0
8/3/2010,4,8190105,0,0,22.61,0
8/31/2010,4,8190105,0,0,23.65,0
9/8/2010,4,8190105,0,0,22.72,0
9/8/2010,4,8190105,0,0,22.72,0
9/14/2010,4,8190105,0.13,0,21.4,0.13
4/26/2011,4,8272864,0,0,10.07,0
4/26/2011,4,8272864,0,0,10.07,0
4/26/2011,4,8272864,0,0,10.07,0
5/10/2011,4,8272864,0,0,11.59,0
5/24/2011,4,8272864,0.02,0,15.78,0.02
5/24/2011,4,8272864,0.02,0,15.78,0.02
6/1/2011,4,8272864,0,0,18.09,0
6/1/2011,4,8272864,0,0,18.09,0
6/1/2011,4,8272864,0,0,18.09,0
6/7/2011,4,8272864,0,0,17.08,0
6/7/2011,4,8272864,0,0,17.08,0
6/7/2011,4,8272864,0,0,17.08,0
6/7/2011,4,8272864,0,0,17.08,0
6/7/2011,4,8272864,0,0,17.08,0
6/28/2011,4,8272864,0,0,22.14,0
6/28/2011,4,8272864,0,0,22.14,0
7/6/2011,4,8272864,0,0,22.29,0
7/6/2011,4,8272864,0,0,22.29,0
7/6/2011,4,8272864,0,0,22.29,0
7/12/2011,4,8272864,0,0,23.21,0
7/12/2011,4,8272864,0,0,23.21,0
7/18/2011,4,8272864,0,0,22.88,0
7/18/2011,4,8272864,0,0,22.88,0
7/18/2011,4,8272864,0,0,22.88,0
8/2/2011,4,8272864,0.01,0,24.25,0.01
8/8/2011,4,8272864,0.17,0,24.63,0.17
8/8/2011,4,8272864,0.17,0,24.63,0.17
8/8/2011,4,8272864,0.17,0,24.63,0.17
8/18/2011,4,8272864,0,0.1,23.88,0.1
8/18/2011,4,8272864,0,0.1,23.88,0.1
8/18/2011,4,8272864,0,0.1,23.88,0.1
8/18/2011,4,8272864,0,0.1,23.88,0.1
8/18/2011,4,8272864,0,0.1,23.88,0.1
8/18/2011,4,8272864,0,0.1,23.88,0.1
8/23/2011,4,8272864,0,0,23.31,0
8/23/2011,4,8272864,0,0,23.31,0
8/23/2011,4,8272864,0,0,23.31,0
8/23/2011,4,8272864,0,0,23.31,0
8/23/2011,4,8272864,0,0,23.31,0
8/23/2011,4,8272864,0,0,23.31,0
9/1/2011,4,8272864,0,0,23.26,0
5/8/2012,4,8346715,0,0.04,13.47,0.04
5/14/2012,4,8346715,0,0.01,14.84,0.01
5/14/2012,4,8346715,0,0.01,14.84,0.01
5/14/2012,4,8346715,0,0.01,14.84,0.01
5/14/2012,4,8346715,0,0.01,14.84,0.01
6/12/2012,4,8346715,0,0.91,20.16,0.91
6/12/2012,4,8346715,0,0.91,20.16,0.91
6/12/2012,4,8346715,0,0.91,20.16,0.91
6/18/2012,4,8346715,0,0,20.98,0
6/18/2012,4,8346715,0,0,20.98,0
6/18/2012,4,8346715,0,0,20.98,0
6/18/2012,4,8346715,0,0,20.98,0
6/18/2012,4,8346715,0,0,20.98,0
6/18/2012,4,8346715,0,0,20.98,0
6/25/2012,4,8346715,0.05,0.28,22.25,0.33
6/25/2012,4,8346715,0.05,0.28,22.25,0.33
6/27/2012,4,8346715,0,0,21.48,0
7/2/2012,4,8346715,0,0,21.63,0
7/10/2012,4,8346715,0,0,23.63,0
7/10/2012,4,8346715,0,0,23.63,0
7/10/2012,4,8346715,0,0,23.63,0
7/10/2012,4,8346715,0,0,23.63,0
7/10/2012,4,8346715,0,0,23.63,0
7/10/2012,4,8346715,0,0,23.63,0
7/23/2012,4,8346715,0,0.07,22.84,0.07
7/23/2012,4,8346715,0,0.07,22.84,0.07
7/23/2012,4,8346715,0,0.07,22.84,0.07
7/23/2012,4,8346715,0,0.07,22.84,0.07
7/23/2012,4,8346715,0,0.07,22.84,0.07
7/31/2012,4,8346715,0,0,23.92,0
8/14/2012,4,8346715,0,0.05,24.72,0.05
8/14/2012,4,8346715,0,0.05,24.72,0.05
8/14/2012,4,8346715,0,0.05,24.72,0.05
8/14/2012,4,8346715,0,0.05,24.72,0.05
8/14/2012,4,8346715,0,0.05,24.72,0.05
8/14/2012,4,8346715,0,0.05,24.72,0.05
8/14/2012,4,8346715,0,0.05,24.72,0.05
8/14/2012,4,8346715,0,0.05,24.72,0.05
8/14/2012,4,8346715,0,0.05,24.72,0.05
8/27/2012,4,8346715,0,0.77,24.34,0.77
8/27/2012,4,8346715,0,0.77,24.34,0.77
8/27/2012,4,8346715,0,0.77,24.34,0.77
8/27/2012,4,8346715,0,0.77,24.34,0.77
8/27/2012,4,8346715,0,0.77,24.34,0.77
8/27/2012,4,8346715,0,0.77,24.34,0.77
9/11/2012,4,8346715,0,0,23.62,0
4/30/2013,4,8396207,0.03,0,11.12,0.03
4/30/2013,4,8396207,0.03,0,11.12,0.03
4/30/2013,4,8396207,0.03,0,11.12,0.03
5/7/2013,4,8396207,0,0,13.29,0
5/7/2013,4,8396207,0,0,13.29,0
5/14/2013,4,8396207,0,0,14.27,0
5/14/2013,4,8396207,0,0,14.27,0
5/14/2013,4,8396207,0,0,14.27,0
5/14/2013,4,8396207,0,0,14.27,0
5/14/2013,4,8396207,0,0,14.27,0
5/21/2013,4,8396207,0,0,14.1,0
5/21/2013,4,8396207,0,0,14.1,0
5/21/2013,4,8396207,0,0,14.1,0
5/21/2013,4,8396207,0,0,14.1,0
5/21/2013,4,8396207,0,0,14.1,0
5/28/2013,4,8396207,0,0.41,14.97,0.41
6/12/2013,4,8396207,0.14,0,18.57,0.14
6/12/2013,4,8396207,0.14,0,18.57,0.14
6/12/2013,4,8396207,0.14,0,18.57,0.14
6/12/2013,4,8396207,0.14,0,18.57,0.14
6/12/2013,4,8396207,0.14,0,18.57,0.14
6/12/2013,4,8396207,0.14,0,18.57,0.14
6/17/2013,4,8396207,0,0,19.26,0
6/17/2013,4,8396207,0,0,19.26,0
6/17/2013,4,8396207,0,0,19.26,0
6/17/2013,4,8396207,0,0,19.26,0
6/17/2013,4,8396207,0,0,19.26,0
6/24/2013,4,8396207,0,0,20.16,0
6/24/2013,4,8396207,0,0,20.16,0
6/24/2013,4,8396207,0,0,20.16,0
7/8/2013,4,8396207,0,0,21.7,0
7/8/2013,4,8396207,0,0,21.7,0
7/8/2013,4,8396207,0,0,21.7,0
7/8/2013,4,8396207,0,0,21.7,0
7/8/2013,4,8396207,0,0,21.7,0
7/8/2013,4,8396207,0,0,21.7,0
7/16/2013,4,8396207,0,0,22.75,0
7/16/2013,4,8396207,0,0,22.75,0
7/24/2013,4,8396207,0.31,0,24.7,0.31
7/24/2013,4,8396207,0.31,0,24.7,0.31
7/30/2013,4,8396207,0,0,23.61,0
7/30/2013,4,8396207,0,0,23.61,0
8/6/2013,4,8396207,0,0,22.56,0
8/6/2013,4,8396207,0,0,22.56,0
8/6/2013,4,8396207,0,0,22.56,0
8/6/2013,4,8396207,0,0,22.56,0
8/13/2013,4,8396207,0.09,0.74,22.85,0.83
8/27/2013,4,8396207,0,0.01,22.65,0.01
9/4/2013,4,8396207,0.09,0,22.77,0.09
9/4/2013,4,8396207,0.09,0,22.77,0.09
9/10/2013,4,8396207,0,0,21.22,0
9/10/2013,4,8396207,0,0,21.22,0
4/22/2014,4,8433867,0,0,8.6,0
4/22/2014,4,8433867,0,0,8.6,0
4/22/2014,4,8433867,0,0,8.6,0
4/22/2014,4,8433867,0,0,8.6,0
4/29/2014,4,8433867,0,0.03,9.44,0.03
5/6/2014,4,8433867,0,0,10.98,0
5/6/2014,4,8433867,0,0,10.98,0
5/6/2014,4,8433867,0,0,10.98,0
5/6/2014,4,8433867,0,0,10.98,0
5/6/2014,4,8433867,0,0,10.98,0
5/6/2014,4,8433867,0,0,10.98,0
5/20/2014,4,8433867,0,0,14.4,0
5/20/2014,4,8433867,0,0,14.4,0
5/20/2014,4,8433867,0,0,14.4,0
5/20/2014,4,8433867,0,0,14.4,0
6/3/2014,4,8433867,0,0.06,16.94,0.06
6/3/2014,4,8433867,0,0.06,16.94,0.06
6/3/2014,4,8433867,0,0.06,16.94,0.06
6/3/2014,4,8433867,0,0.06,16.94,0.06
6/3/2014,4,8433867,0,0.06,16.94,0.06
6/17/2014,4,8433867,0,0,19.83,0
6/17/2014,4,8433867,0,0,19.83,0
6/24/2014,4,8433867,0,0,20.53,0
6/24/2014,4,8433867,0,0,20.53,0
6/24/2014,4,8433867,0,0,20.53,0
6/24/2014,4,8433867,0,0,20.53,0
6/24/2014,4,8433867,0,0,20.53,0
6/24/2014,4,8433867,0,0,20.53,0
7/1/2014,4,8433867,0,0,22.06,0
7/14/2014,4,8433867,0.24,0.74,20.79,0.98
7/14/2014,4,8433867,0.24,0.74,20.79,0.98
7/14/2014,4,8433867,0.24,0.74,20.79,0.98
